Symbol,Quantity,AvgPrice
AZO,10,2427.87
CAH,278,76.74
CB,143,229.7
CEG,330,84.63
CI,63,313.06
FMB,8127,51.31
FPE,22717,17.98
GILD,308,83.08
GIS,239,77.0
GOILG3,1,962.0
HYD,8239,52.52
HYG,5216,76.23
IAU,1882,36.59
IGIB,7896,51.5
IXC,4853,40.6
KCH3,-1,1.66
LLY,64,349.44
LTPZ,6017,62.84
LVS,284,57.32
MCD,74,272.61
MCK,69,380.47
MRK,217,106.82
NGH3,-1,2.71
ORLY,31,808.73
QQQ,6057,290.3
REGN,25,740.36
TN   MAR 23,4,121.61
TRV,197,190.85
UB   MAR 23,3,142.56
XLE,1785,91.54
ZB   MAR 23,3,130.55
ZC   MAR 23,2,6.82
ZL   MAR 23,-1,0.61
ZM   MAR 23,1,474.5
