Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($),,
EXR,STK,193.05,3438,3438,0,-0.436,0.298,660900.56,,
MAA,STK,198.99,3428,3321,-107,-3.121,0.298,660900.56,,
WM,STK,147.96,4613,4467,-146,-3.165,0.298,660900.56,,
PLD,STK,151.72,4324,4324,0,0.74,0.298,660900.56,,
DRE,STK,56.46,11662,11662,0,0.377,0.298,660900.56,,
PSA,STK,348.18,1902,1902,0,-0.21,0.298,660900.56,,
AZO,STK,1881.7,346,346,0,1.445,0.298,660900.56,,
PG,STK,157.93,4151,4151,0,0.819,0.298,660900.56,,
EXC,STK,55.78,12311,11848,-463,-3.761,0.298,660900.56,,
PEP,STK,169.53,3855,3855,0,1.115,0.298,660900.56,,
SBNY,STK,304.98,2200,2200,0,-1.5,0.298,660900.56,,
MCK,STK,246.97,2725,2725,0,-1.798,0.298,660900.56,,
TSN,STK,90.58,7473,7473,0,-2.369,0.298,660900.56,,
FITB,STK,44.8,14921,14921,0,-1.133,0.298,660900.56,,
CHD,STK,98.95,3359,3359,0,-0.566,0.149,330450.28,,
HSY,STK,194.13,1753,1753,0,-2.909,0.149,330450.28,,
QQQ,STK,344.68,175724,175724,0,-0.349,27.169,60357431.2,,
XLE,STK,65.5,16678,16678,0,-2.153,0.481,1068866.82,,
PBW,STK,53.71,9797,9797,0,1.562,0.241,534433.52,,
EXXX,STK,46.06,11978,11603,-375,-3.131,0.241,534433.52,,
2823,STK,2.26,468500,468500,0,0.95,0.481,1068866.82,,
2800,STK,3.07,353000,353000,0,-1.37,0.481,1068866.82,,
IJS,STK,98.84,10984,10984,0,-1.548,0.481,1068866.82,,
KSA,STK,44.52,24327,24327,0,-1.307,0.481,1068866.82,,
FM,STK,33.3,31865,31865,0,0.731,0.481,1068866.82,,
STIP,STK,104.85,64519,64519,0,-1.482,3,6664543.49,,
LTPZ,STK,83.73,39711,39711,0,0.219,1.5,3332271.74,,
ZN,FUT,127421.89,27,26,-1,-3.704,1.5,3332271.74,,
ZB,FUT,154750,22,22,0,0,1.5,3332271.74,,
ZT,FUT,216531.25,32,31,-1,-3.125,3,6664543.49,,
Z3N,FUT,225070.3,30,30,0,0,3,6664543.49,,
CYBA,STK,5.85,1294884,1139238,-155646,-12.02,3,6664543.49,,-45209
CNYB,STK,5.65,675940,786377,110437,16.338,2,4443028.99,,
GBX,FUT,229029.2,15,15,0,0,1.5,3332271.74,,
BTS,FUT,126404.51,53,53,0,0,3,6664543.49,,
HYD,STK,60.82,55251,55251,0,-0.836,1.5,3332271.74,,
IAU,STK,34.43,64599,64599,0,-0.118,1,2221514.5,,
RB,FUT,106066.78,18,18,0,0,0.842,1870749.8,,
AH,FUT,77995.44,25,24,-1,-4,0.842,1870749.8,,
HO,FUT,113450.41,17,16,-1,-5.882,0.842,1870749.8,,
COIL,FUT,88700,22,21,-1,-4.545,0.842,1870749.8,,
GOIL,FUT,77699.08,25,24,-1,-4,0.842,1870749.8,,
ZO,FUT,32950,30,28,-2,-6.667,0.421,935374.45,,
KC,FUT,88256.24,21,21,0,0,0.842,1870749.8,,
ZW,FUT,39600,-24,-24,0,0,-0.421,935374.45,,
KE,FUT,40662.5,-24,-23,1,-4.167,-0.421,935374.45,,
SB,FUT,20686.4,-45,-45,0,0,-0.421,935374.45,,
LE,FUT,56700,-17,-16,1,-5.882,-0.421,935374.45,,
NG,FUT,41010,-24,-23,1,-4.167,-0.421,935374.45,,
ZM,FUT,40160,-25,-23,2,-8,-0.421,935374.45,,
,,,,,,,,,,
,,,,,,,3.001,152173747.2,,
