Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($),,
EXR,STK,196.91,3438,3438,0,0.96,0.298,683550.77,,
MAA,STK,204.76,3321,3321,0,0.512,0.298,683550.77,,
WM,STK,147.9,4467,0,-4467,-100,0,0,,
PLD,STK,155.08,4324,4324,0,1.943,0.298,683550.77,,
DRE,STK,57.19,11662,11662,0,2.487,0.298,683550.77,,
PSA,STK,360.57,1902,1902,0,-0.315,0.298,683550.77,,
AZO,STK,1951.16,346,346,0,1.156,0.298,683550.77,,
PG,STK,160.5,4151,4151,0,2.602,0.298,683550.77,,
EXC,STK,57.33,11848,11848,0,0.633,0.298,683550.77,,
PEP,STK,172.67,3855,3855,0,2.698,0.298,683550.77,,
SBNY,STK,301.07,2200,1135,-1065,-48.409,0.149,341775.38,,
MCK,STK,258.21,2551,2647,96,3.763,0.298,683550.77,,
TSN,STK,91.3,7229,7487,258,3.569,0.298,683550.77,,
FITB,STK,44.47,14921,15371,450,3.016,0.298,683550.77,,
CHD,STK,103,3359,3359,0,-1.221,0.149,341775.38,,
HSY,STK,196.83,1674,1736,62,3.704,0.149,341775.38,,
CVS,STK,109.6,0,6237,6237,Inf,0.298,683550.77,,
ABBV,STK,137.92,0,2478,2478,Inf,0.149,341775.38,,
QQQ,STK,353.15,175724,175724,0,0.595,27.17,62425991.91,,
XLE,STK,65.46,16138,16888,750,4.647,0.481,1105491.15,,
PBW,STK,51.64,10333,10704,371,3.59,0.241,552745.57,,
EXXX,STK,46.24,11603,11954,351,3.025,0.241,552745.57,,
2823,STK,2.22,468500,498000,29500,6.29,0.481,1105491.15,,
2800,STK,3.07,353000,353000,0,2.01,0.481,1105491.15,,
IJS,STK,98.19,10984,10984,0,2.504,0.481,1105491.15,,
KSA,STK,44.72,24327,24327,0,1.615,0.481,1105491.15,,
FM,STK,33.73,31865,31865,0,2.856,0.481,1105491.15,,
STIP,STK,105,64519,64519,0,1.748,3,6892948.92,,
LTPZ,STK,85.53,38471,40296,1825,4.744,1.5,3446474.46,,
ZN,FUT,127843.77,26,27,1,3.846,1.5,3446474.46,,
ZB,FUT,155500,21,22,1,4.762,1.5,3446474.46,,
ZT,FUT,216484.37,30,32,2,6.667,3,6892948.92,,
Z3N,FUT,225156.24,29,31,2,6.897,3,6892948.92,,
CYBA,STK,5.86,1249675,1176271,-73404,-5.874,3,6892948.92,,62546
CNYB,STK,5.66,675940,811890,135950,20.113,2,4595299.28,,738486
GBX,FUT,227383.79,14,15,1,7.143,1.5,3446474.46,,
BTS,FUT,126352.91,53,55,2,3.774,3,6892948.92,,
HYD,STK,60.38,55251,57080,1829,3.31,1.5,3446474.46,,
IAU,STK,34.04,64599,67499,2900,4.489,1,2297649.64,,
RB,FUT,108237.29,17,16,-1,-5.882,0.762,1750590.29,,
AH,FUT,77238.17,24,23,-1,-4.167,0.762,1750590.29,,
HO,FUT,115248,16,15,-1,-6.25,0.762,1750590.29,,
COIL,FUT,89420,21,20,-1,-4.762,0.762,1750590.29,,
GOIL,FUT,79025,23,22,-1,-4.348,0.762,1750590.29,,
ZO,FUT,35650,28,49,21,75,0.762,1750590.29,,
KC,FUT,88331.24,21,20,-1,-4.762,0.762,1750590.29,,
SB,FUT,20350.4,-45,-43,2,-4.444,-0.381,875295.14,,
LE,FUT,57260,-16,-15,1,-6.25,-0.381,875295.14,,
PB,FUT,56850,0,-15,-15,#NAME?,-0.381,875295.14,,
SI,FUT,112700,0,-8,-8,#NAME?,-0.381,875295.14,,
DA,FUT,40560,0,-22,-22,#NAME?,-0.381,875295.14,,
GF,FUT,79812.5,0,-11,-11,#NAME?,-0.381,875295.14,,
CC,FUT,25020,0,-35,-35,#NAME?,-0.381,875295.14,,
ZW,FUT,39712.5,-24,0,24,-100,0,0,,
KE,FUT,40600,-23,0,23,-100,0,0,,
NG,FUT,49310,-21,0,21,-100,0,0,,
ZM,FUT,41710,-23,0,23,-100,0,0,,
,,,,,,,,,,
,,,,,,,3.001,157388955.3,,
