Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($),,
GS,STK,343.05,1054,0,-1054,-100,0,0,,
EXR,STK,195.48,3758,3438,-320,-8.515,0.298,672061.64,,
MAA,STK,202.89,3649,3312,-337,-9.235,0.298,672061.64,,
WM,STK,151.1,4844,4448,-396,-8.175,0.298,672061.64,,
PLD,STK,155.43,4904,4324,-580,-11.827,0.298,672061.64,,
F,STK,20.07,17409,0,-17409,-100,0,0,,
DRE,STK,57.63,12741,11662,-1079,-8.469,0.298,672061.64,,
PSA,STK,353.35,2092,1902,-190,-9.082,0.298,672061.64,,
AZO,STK,1942.17,382,346,-36,-9.424,0.298,672061.64,,
PG,STK,161.9,4549,4151,-398,-8.749,0.298,672061.64,,
EXC,STK,57.22,12895,11745,-1150,-8.918,0.298,672061.64,,
PEP,STK,174.33,4305,3855,-450,-10.453,0.298,672061.64,,
SBNY,STK,326.33,2181,2059,-122,-5.594,0.298,672061.64,,
MCK,STK,246.62,2980,2725,-255,-8.557,0.298,672061.64,,
TSN,STK,89.93,8029,7473,-556,-6.925,0.298,672061.64,,
FITB,STK,45.04,15910,14921,-989,-6.216,0.298,672061.64,,
CHD,STK,103.4,0,3250,3250,Inf,0.149,336030.82,,
HSY,STK,200.35,0,1677,1677,Inf,0.149,336030.82,,
QQQ,STK,349.28,184922,175724,-9198,-4.974,27.169,61376728.35,,
XLE,STK,62.2,19271,17475,-1796,-9.32,0.481,1086917.5,,
PBW,STK,55.47,10399,9797,-602,-5.789,0.241,543458.86,,
EXXX,STK,45.37,12513,11978,-535,-4.276,0.241,543458.86,,
2823,STK,2.32,511600,468500,-43100,-8.425,0.481,1086917.5,,
2800,STK,3.18,370000,342000,-28000,-7.622,0.481,1086917.5,,
IJS,STK,99,12047,10979,-1068,-8.865,0.481,1086917.5,,
KSA,STK,44.68,26431,24327,-2104,-7.96,0.481,1086917.5,,
FM,STK,34.11,34552,31865,-2687,-7.777,0.481,1086917.5,,
STIP,STK,105.04,72322,64519,-7803,-10.789,3,6777092.18,,
LTPZ,STK,85.33,45711,39711,-6000,-13.126,1.5,3388546.09,,
ZN,FUT,128500,29,26,-3,-10.345,1.5,3388546.09,,
ZB,FUT,156312.5,24,22,-2,-8.333,1.5,3388546.09,,
ZT,FUT,217195.31,35,31,-4,-11.429,3,6777092.18,,
Z3N,FUT,226046.88,34,30,-4,-11.765,3,6777092.18,,
CYBA,STK,5.9,1294884,1148660,-146224,-11.292,3,6777092.18,,
CNYB,STK,5.7081,0,395759,395759,Inf,1,2259030.73,,249535
GBX,FUT,233847.38,16,14,-2,-12.5,1.5,3388546.09,,
BTS,FUT,127981.12,59,53,-6,-10.169,3,6777092.18,,
HYD,STK,61.33,61751,55251,-6500,-10.526,1.5,3388546.09,,
IAU,STK,34.97,73123,64599,-8524,-11.657,1,2259030.73,,
RB,FUT,102665.96,23,19,-4,-17.391,0.842,1902342.43,,
AH,FUT,75755.37,30,25,-5,-16.667,0.842,1902342.43,,
HO,FUT,110497.81,21,17,-4,-19.048,0.842,1902342.43,,
COIL,FUT,86820,27,22,-5,-18.519,0.842,1902342.43,,
GOIL,FUT,76850,31,25,-6,-19.355,0.842,1902342.43,,
ZO,FUT,31650,37,30,-7,-18.919,0.421,951170.76,,
KC,FUT,87862.46,13,22,9,69.231,0.842,1902342.43,,
ZW,FUT,39200,-30,-24,6,-20,-0.421,951170.76,,
KE,FUT,39975,-29,-24,5,-17.241,-0.421,951170.76,,
SB,FUT,21089.61,-56,-45,11,-19.643,-0.421,951170.76,,
LE,FUT,56940,-20,-17,3,-15,-0.421,951170.76,,
NG,FUT,37270,0,-26,-26,#NAME?,-0.421,951170.76,,
ZM,FUT,39330,0,-24,-24,#NAME?,-0.421,951170.76,,
ZC,FUT,30725,-38,0,38,-100,0,0,,
,,,,,,,,,,
,,,,,,,2.926,152484578.4,,
