Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
MRK,STK,110.71,5300,0,-5300,-100,0,0
LVS,STK,58.48,9941,10253,312,3.139,0.333,599594.05
SGEN,STK,196.6,2956,3050,94,3.18,0.333,599594.05
ACGL,STK,71.44,8334,8334,0,0.708,0.333,599594.05
AZN,STK,73.62,7906,8144,238,3.01,0.333,599594.05
YUM,STK,133.44,4346,4493,147,3.382,0.333,599594.05
LLY,STK,448.99,1319,1319,0,1.213,0.333,599594.05
MDLZ,STK,72.97,7973,8217,244,3.06,0.333,599594.05
GE,STK,106.5,5426,5630,204,3.76,0.333,599594.05
CHD,STK,94.1,6222,6222,0,2.411,0.333,599594.05
KMB,STK,134.5,4301,0,-4301,-100,0,0
PG,STK,146.4,3975,4096,121,3.044,0.333,599594.05
BA,STK,218,2715,2715,0,1.289,0.333,599594.05
BSX,STK,51.28,11353,11353,0,2.995,0.333,599594.05
MNST,STK,57.25,10116,0,-10116,-100,0,0
PANW,STK,221,0,2713,2713,Inf,0.333,599594.05
ZBH,STK,142.9,0,4196,4196,Inf,0.333,599594.05
PCAR,STK,76.83,0,7804,7804,Inf,0.333,599594.05
QQQ,STK,355.93,148331,148331,0,2.213,30,53964004.46
EWW,STK,62.92,69707,69707,0,2.532,2.5,4497000.37
KSA,STK,41.3,104856,108886,4030,3.843,2.5,4497000.37
STIP,STK,97.61,35377,36857,1480,4.184,2,3597600.3
IGSB,STK,50.03,69002,71909,2907,4.213,2,3597600.3
IGIB,STK,50.25,68933,71594,2661,3.86,2,3597600.3
HYG,STK,74.72,46525,48148,1623,3.488,2,3597600.3
FPE,STK,16.06,215174,224010,8836,4.106,2,3597600.3
ZB,FUT,127562.5,28,28,0,0,2,3597600.3
TN,FUT,119312.5,30,30,0,0,2,3597600.3
ZN,FUT,113421.87,31,32,1,3.226,2,3597600.3
ZF,FUT,108242.18,33,33,0,0,2,3597600.3
GBL,FUT,144924.24,25,25,0,0,2,3597600.3
BTP,FUT,125365.21,29,29,0,0,2,3597600.3
FLKTB,FUT,86502.24,41,41,0,2.439,2,3597600.3
IAU,STK,37.25,46821,48290,1469,3.137,1,1798800.15
GF,FUT,119537.5,10,20,10,100,1.333,2398400.14
CC,FUT,31670,37,76,39,105.405,1.333,2398400.14
LE,FUT,68780,17,35,18,105.882,1.333,2398400.14
SI,FUT,121750,5,20,15,300,1.333,2398400.14
PL,FUT,50410,12,24,12,100,0.667,1199200.16
SB,FUT,28851.19,42,42,0,0,0.667,1199200.16
ZM,FUT,40140,15,30,15,100,0.667,1199200.16
DA,FUT,31940,-18,-38,-20,111.111,-0.667,1199200.16
ZSLME,FUT,59287.1,-10,-20,-10,100,-0.667,1199200.16
ZS,FUT,69500,-9,0,9,-100,0,0
PB,FUT,51900,-12,0,12,-100,0,0
PA,FUT,132200,0,-9,-9,-Inf,-0.667,1199200.16
KE,FUT,39540.35,0,-30,-30,-Inf,-0.667,1199200.16
,,,,,,,,
,,,,,,,3.605,134909921.38
