Action,Quantity,Symbol,SecType,LastTradingDayOrContractMonth,DivPrt,Exchange,Currency,TimeInForce,OrderType,BasketTag,Account,OrderRef,Multiplier,
BUY,1,COIL,FUT,20230131,false,IPE,USD,DAY,LMT,Basket,U8251256,Basket,1000,
BUY,1,HO,FUT,20230131,false,NYMEX,USD,DAY,LMT,Basket,U8251256,Basket,42000,
BUY,1,NG,FUT,20230127,false,NYMEX,USD,DAY,LMT,Basket,U8251256,Basket,10000,
BUY,1,ZC,FUT,20230314,false,CBOT,USD,DAY,LMT,Basket,U8251256,Basket,5000,
BUY,1,DA,FUT,20230131,false,CME,USD,DAY,LMT,Basket,U8251256,Basket,2000,
BUY,1,ZO,FUT,20230314,false,CBOT,USD,DAY,LMT,Basket,U8251256,Basket,5000,
BUY,1,GOIL,FUT,20230210,false,IPE,USD,DAY,LMT,Basket,U8251256,Basket,100,
BUY,1,ZB,FUT,20230322,false,CBOT,USD,DAY,LMT,,U8251256,bt_2022-12-19-2.csv,1000,
