Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
MCK,STK,382.44,698,698,0,1.146,0.333,270112.66
NOC,STK,541.43,495,495,0,0.808,0.333,270112.66
MRK,STK,110.01,2469,2469,0,-0.567,0.333,270112.66
GIS,STK,85.9,3121,3121,0,0.737,0.333,270109.98
LLY,STK,369.29,721,721,0,1.387,0.333,270109.98
AMGN,STK,284.91,946,946,0,0.211,0.333,270109.98
HUM,STK,547.42,494,494,0,-0.202,0.333,270109.98
AZO,STK,2526.92,105,105,0,1.905,0.333,270109.98
CAH,STK,79.48,3339,3339,0,1.767,0.333,270109.98
ROL,STK,39.6,6671,6671,0,2.249,0.333,270109.98
ORLY,STK,843.1,315,315,0,1.587,0.333,270109.98
GILD,STK,87.98,3051,3051,0,0.623,0.333,270109.98
CI,STK,327.39,828,828,0,-0.362,0.333,270109.98
PGR,STK,131.26,2038,2038,0,0.981,0.333,270109.98
VRTX,STK,317.6,840,840,0,1.19,0.333,270109.98
QQQ,STK,287.74,83328,83328,0,1.39,30,24310141.4
XLE,STK,87.1,22283,23259,976,4.38,2.5,2025845.12
IXC,STK,39.9,49482,49482,0,2.609,2.5,2025845.12
CGB,FUT,93753.78,46,46,0,2.174,5.4,4375825.45
BTP,FUT,123298.89,35,35,0,0,5.4,4375825.45
OAT,FUT,143320,30,31,1,3.333,5.4,4375825.45
GBX,FUT,170294.92,25,26,1,4,5.4,4375825.45
FLKTB,FUT,85166.76,51,51,0,0,5.4,4375825.45
IGIB,STK,50.23,86438,86438,0,0.784,5.4,4375825.45
IGLB,STK,52.13,83089,83089,0,1.025,5.4,4375825.45
HYG,STK,74.84,57881,57881,0,1.016,5.4,4375825.45
FMB,STK,50.57,86575,86575,0,-0.052,5.4,4375825.45
HYD,STK,51.69,84241,84241,0,0.491,5.4,4375825.45
IAU,STK,33.64,23778,23778,0,1.308,1,810338.05
ZM,FUT,43460,6,6,0,0,0.333,270112.74
ZS,FUT,72425,4,4,0,0,0.333,270112.74
CL,FUT,76090,3,4,1,33.333,0.333,270112.74
COIL,FUT,81800,3,3,0,0,0.333,270112.74
GOIL,FUT,84907.33,-3,-3,0,0,-0.333,270112.74
RB,FUT,91757.33,-3,-3,0,0,-0.333,270112.74
HO,FUT,124469,-2,-2,0,0,-0.333,270112.74
ZC,FUT,32150,-17,-17,0,0,-0.667,540225.23
ZW,FUT,37000,-14,-15,-1,7.143,-0.667,540225.23
KE,FUT,42037.5,-12,-13,-1,8.333,-0.667,540225.23
ZO,FUT,17025,-30,-32,-2,6.667,-0.667,540225.23
,,,,,,,,
,,,,,,,2.399,81033772.03
