Action,Quantity,Symbol,SecType,LastTradingDayOrContractMonth,DivPrt,Exchange,Currency,TimeInForce,OrderType,BasketTag,Account,OrderRef,Multiplier,
BUY,1,LE,FUT,20230428,false,CME,USD,DAY,LMT,Basket,U8251256,Basket,40000,
BUY,1,DA,FUT,20230502,false,CME,USD,DAY,LMT,Basket,U8251256,Basket,2000,
