Symbol,Quantity,AvgPrice
ABBV,-215,148.83
AEP,-316,96.93
AMGN,-136,248.66
BMY,-460,74.23
CCU2,1,2332.0
CGBU22,64,130.05
CLU2,-1,97.34
DLTR,-130,162.0
ED,-332,97.09
EXC,-927,45.27
FMB,-24040,51.64
GIS,-413,73.99
HGU2,1,3.48
HSY,-146,222.18
HUM,-49,480.49
IAU,-4240,33.28
IGLB,-22761,55.7
IXC,-4492,34.67
LMT,-68,400.54
MCK,-99,338.08
MRK,-403,89.36
NOC,-48,445.31
QQQ,-12585,306.09
RBU2,-1,3.12
SHYD,-45156,23.06
SRE,-213,161.15
TN   SEP 22,-8,130.89
XLE,-1379,74.72
ZB   SEP 22,-7,143.42
ZC   DEC 22,2,6.18
ZF   SEP 22,-12,113.7
ZN   SEP 22,-9,120.96
