Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
HCA,STK,252.22,2775,2740,-35,-1.261,0.298,691016.29
GS,STK,385.3,1787,1793,6,0.336,0.298,691016.29
IPG,STK,37.49,18611,18432,-179,-0.962,0.298,691016.29
IRM,STK,,0,,,,0,0
NUE,STK,100,3387,3455,68,2.008,0.149,345508.15
EXR,STK,172.01,4078,4017,-61,-1.496,0.298,691016.29
JCI,STK,70.49,9857,9803,-54,-0.548,0.298,691016.29
IT,STK,307.85,2300,2245,-55,-2.391,0.298,691016.29
TGT,STK,235.85,1496,1465,-31,-2.072,0.149,345508.15
EXPD,STK,121.06,2889,2854,-35,-1.211,0.149,345508.15
MAA,STK,189.94,3744,3638,-106,-2.831,0.298,691016.29
MRNA,STK,381.93,1796,1809,13,0.724,0.298,691016.29
MMC,STK,155.02,4558,4458,-100,-2.194,0.298,691016.29
OTIS,STK,83.31,4173,4147,-26,-0.623,0.149,345508.15
CARR,STK,52.85,13446,13075,-371,-2.759,0.298,691016.29
WM,STK,151.6,4660,4558,-102,-2.189,0.298,691016.29
REGN,STK,606.7,1155,1139,-16,-1.385,0.298,691016.29
EFX,STK,256.55,2724,2693,-31,-1.138,0.298,691016.29
QQQ,STK,360.69,176122,174964,-1158,-0.657,27.169,63107781.4
XLE,STK,53.27,21376,20979,-397,-1.857,0.481,1117572.63
PBW,STK,77.18,14516,14480,-36,-0.248,0.481,1117572.63
2823,STK,2.32,487000,481712,-5288,-1.086,0.481,1117572.63
2800,STK,3.23,347500,345998,-1502,-0.432,0.481,1117572.63
EZU,STK,48.47,23197,23057,-140,-0.604,0.481,1117572.63
EWC,STK,36.31,30957,30779,-178,-0.575,0.481,1117572.63
KSA,STK,41.71,27129,26794,-335,-1.235,0.481,1117572.63
STIP,STK,105.65,111215,109926,-1289,-1.159,5,11613719.17
LTPZ,STK,86.68,81232,80390,-842,-1.037,3,6968231.5
ZN,FUT,131615.47,53,53,0,0,3,6968231.5
ZB,FUT,159574.18,22,22,0,0,1.5,3484115.75
ZT,FUT,220028.11,53,53,0,0,5,11613719.17
Z3N,FUT,230700,51,50,-1,-1.961,5,11613719.17
3KTB,FUT,,0,,,,0,0
GBX,FUT,,0,,,,0,0
BTP,FUT,,0,,,,0,0
OAT,FUT,,0,,,,0,0
CYBA,STK,5.63,1249159,1237697,-11462,-0.918,3,6968231.5
IGLB,STK,69.72,101094,99946,-1148,-1.136,3,6968231.5
IAU,STK,32.87,70757,70665,-92,-0.13,1,2322743.83
RB,FUT,,0,,,,0,0
AH,FUT,71872.83,12,12,0,0,0.364,844634.21
HO,FUT,97419,9,9,0,0,0.364,844634.21
HE,FUT,33462.88,26,25,-1,-3.846,0.364,844634.21
ZL,FUT,34980,25,24,-1,-4,0.364,844634.21
KC,FUT,73565.75,12,11,-1,-8.333,0.364,844634.21
PB,FUT,52227,8,8,0,0,0.182,422317.1
CT,FUT,52140,17,16,-1,-5.882,0.364,844634.21
ZO,FUT,29332.1,29,29,0,0,0.364,844634.21
SB,FUT,22097.59,39,38,-1,-2.564,0.364,844634.21
NG,FUT,56537.29,7,7,0,0,0.182,422317.1
NI,FUT,108770.75,8,8,0,0,0.364,844634.21
GOIL,FUT,66475,13,13,0,0,0.364,844634.21
,,,,,,,,
,,,,,,,4.363,159107953.57
