Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
LLY,STK,590,482,556,74,15.353,0.389,328240.38
CEG,STK,113.99,2536,2880,344,13.565,0.389,328240.38
GE,STK,105.71,2577,3105,528,20.489,0.389,328240.38
MCK,STK,453.27,641,724,83,12.949,0.389,328240.38
BRK B,STK,336.9,839,974,135,16.091,0.389,328240.38
PANW,STK,253,1127,1297,170,15.084,0.389,328240.38
INTC,STK,35.59,7929,9223,1294,16.32,0.389,328240.38
CMCSA,STK,42.83,6607,7664,1057,15.998,0.389,328240.38
CME,STK,214.12,1347,1533,186,13.808,0.389,328240.38
VRTX,STK,364.8,802,900,98,12.219,0.389,328240.38
COR,STK,189.89,1557,1729,172,11.047,0.389,328240.38
SMH,STK,144,1932,2279,347,17.961,0.389,328240.38
AAPL,STK,175.46,0,1871,1871,Inf,0.389,328240.38
FTNT,STK,57.77,0,5682,5682,Inf,0.389,328240.38
DLR,STK,115.64,0,2838,2838,Inf,0.389,328240.38
EPD,STK,27.57,0,11906,11906,Inf,0.389,328240.38
SGEN,STK,214.97,0,1527,1527,Inf,0.389,328240.38
CMG,STK,1847.63,0,178,178,Inf,0.389,328240.38
VRSK,STK,234.45,1193,0,-1193,-100,0,0
BR,STK,175.9,1605,0,-1605,-100,0,0
BRO,STK,68.27,4098,0,-4098,-100,0,0
BKNG,STK,2785.2,95,0,-95,-100,0,0
STE,STK,216.9,1301,0,-1301,-100,0,0
QQQ,STK,358.74,168508,152933,-15575,-9.243,65,54863033.23
USL,STK,40.8,46771,41375,-5396,-11.537,2,1688093.33
URNM,STK,44.28,7198,6354,-844,-11.725,0.333,281348.86
CANE,STK,15.09,19970,18645,-1325,-6.635,0.333,281348.86
GSG,STK,22.61,13967,12444,-1523,-10.904,0.333,281348.86
STIP,STK,96.98,4601,4352,-249,-5.412,0.5,422023.33
IGSB,STK,49.42,8987,8540,-447,-4.974,0.5,422023.33
HYG,STK,71.78,6143,5879,-264,-4.298,0.5,422023.33
FPE,STK,15.53,28395,27175,-1220,-4.297,0.5,422023.33
VCIT,STK,73.8,0,2859,2859,Inf,0.25,211011.67
CWB,STK,66.16,0,3189,3189,Inf,0.25,211011.67
BTS,FUT,103970,4,4,0,0,0.5,422023.33
GBS,FUT,104905,4,4,0,0,0.5,422023.33
GBM,FUT,115370,4,4,0,0,0.5,422023.33
R,FUT,91390,5,0,-5,-100,0,0
IAU,STK,37.56,24710,22472,-2238,-9.057,1,844046.67
,,,,,,,,
,,,,,,,2.057,67523733.3
