Symbol,Quantity,AvgPrice
001040.KS,678,127549.12
003230.KS,-23,1400086.96
003550.KS,322,112345.03
003690.KS,-3632,14272.24
011200,-3909,22757.73
011780.KS,-1212,117842.49
014680.KS,831,203978.34
023530.KS,-292,95038.7
039490.KS,487,266000.0
051900,-14,315500.0
069960.KS,-809,92933.13
071050,158,183255.06
088350.KS,-23565,5175.55
1038,13500,65.69
180640.KS,-109,120810.09
251270,1066,37748.97
271560.KS,-104,127500.0
443060.KS,495,206756.57
COLO,2347,50.31
DB1,354,283.95
ENOR,3190,36.83
EPOL,2649,44.49
EVK,5479,18.47
EWC,1891,61.99
EWG,2655,44.12
EWI,1865,62.78
EWS,3475,33.67
GLD,273,428.46
GREK,1389,84.67
INQQ,8396,13.98
KMLM,85000,29.07
KSA,3033,39.04
PFE,4165,27.93
QQQM,17000,290.66
SCHW,1043,112.71
U96,24700,6.05
VT,731,160.15
VXUS,1344,87.16
