Date,Hong Kong MarketValueUSD,Hong Kong Count,Japan MarketValueUSD,Japan Count,Singapore MarketValueUSD,Singapore Count,United States MarketValueUSD,United States Count
2025-01-03,15504491.82,18,473344.00,2,3021056.10,3,180202779.41,98
2025-01-06,15458247.26,18,470326.50,2,3031922.25,3,181682433.66,102
2025-01-07,15394794.12,20,479209.50,2,3026557.00,3,178548894.65,99
2025-01-08,15237290.23,20,472594.50,2,3030409.50,3,178278174.71,98
2025-01-09,15240702.35,20,466074.00,2,3000664.80,3,178364625.76,98
2025-01-10,15079926.47,21,455458.50,2,2956865.05,3,176625778.35,97
2025-01-13,15042228.41,23,455458.50,2,2954677.75,3,174837869.96,83
2025-01-14,15322874.20,24,449001.00,2,2961594.60,3,175189014.92,72
2025-01-15,15381236.14,24,456576.00,2,2777505.50,3,178714977.75,78
2025-01-16,15562103.57,24,452192.00,2,2787807.10,3,179175612.62,76
2025-01-17,15570768.94,24,452480.00,2,2780585.85,3,180664040.33,100
2025-01-20,15830064.20,27,462784.00,2,2803951.90,3,180664040.33,81
2025-01-21,15959112.13,28,461280.00,2,2808610.90,3,182687199.97,103
