DATE,NAV (USD),CASH INJECTION,DAILY P&L,Daily Return,Weekly P&L,Weekly Return,MTD Change,MTD %,Cal,LTD ROR%,YTD Change,YTD ROR%,Annualised Return,Annualised Volatility,30 Days P&L,30 Days Return,90 Days P&L,90 Days Return,252 Days P&L,252 Days Return,Sharpe Ratio,Sortino Ratio,Value at Risk 95%(30days),Value at Risk 95%(90days),Value at Risk 95%(252days),Value at Risk 99%(252days),CAGR,Excess Return,Negative Excess Returns,Square of (Negative Excess Returns),Trailing 252D Sharpe,Trailing 252D Sortino,Trailing 252D Annualised Return,Trailing 252D Annualised Volatility
1/7/2020,8106215.13,0,-23460.98,-0.29,-23460.98,-0.29,-23460.98,-0.29,0.9971,-0.29,-23460.98,-0.29,-73.08,,-23460.98,-0.29,-23460.98,-0.29,-23460.98,-0.29,,-15.87450787,-0.0029,-0.0029,-0.0029,-0.0029,-51.89873516,-0.307857143,-0.307857143,9.48E-06,,-15.87450787,-73.08,
2/7/2020,8174039.77,0,67824.64,0.836699235,44363.66,0.544272807,44363.66,0.544272807,1.005442728,0.544272807,44363.66,0.544272807,68.88410364,12.64716755,44363.66,0.544272807,44363.66,0.544272807,44363.66,0.544272807,5.090792337,18.63134238,-0.00233665,-0.00233665,-0.00233665,-0.00278733,98.16388699,0.818842092,0,0,5.090792337,18.63134238,68.88410364,0.126471675
6/7/2020,8297117.32,0,123077.55,1.50571264,123077.55,1.50571264,167441.21,2.058180632,1.020581806,2.058180632,167441.21,2.058180632,172.4025975,14.40651892,167441.21,2.058180632,167441.21,2.058180632,167441.21,2.058180632,11.65462652,59.50706593,-0.001773301,-0.001773301,-0.001773301,-0.00267466,453.6267264,1.487855497,0,0,11.65462652,59.50706593,172.4025975,0.144065189
7/7/2020,8333268.55,0,36151.23,0.435708314,159228.78,1.947981469,203592.44,2.50285661,1.025028566,2.50285661,203592.44,2.50285661,156.7515719,11.9270013,203592.44,2.50285661,203592.44,2.50285661,203592.44,2.50285661,12.7652851,62.30777974,-0.001811438,-0.001811438,-0.001811438,-0.002682288,374.6418524,0.417851171,0,0,12.7652851,62.30777974,156.7515719,0.119270013
8/7/2020,8402868.61,0,69600.06,0.835207213,228828.84,2.799458364,273192.5,3.358967862,1.033589679,3.358967862,273192.5,3.358967862,167.4957011,10.4393689,273192.5,3.358967862,273192.5,3.358967862,273192.5,3.358967862,15.61355889,74.57815714,-0.001448583,-0.001448583,-0.001448583,-0.002609717,428.6247063,0.81735007,0,0,15.61355889,74.57815714,167.4957011,0.104393689
9/7/2020,8486246.53,0,83377.92,0.992255429,312206.76,3.819491571,356570.42,4.384552832,1.043845528,4.384552832,356570.42,4.384552832,181.2544789,9.57557182,356570.42,4.384552832,356570.42,4.384552832,356570.42,4.384552832,18.45889543,88.59241649,-0.001085729,-0.001085729,-0.001085729,-0.002537146,506.3478951,0.974398286,0,0,18.45889543,88.59241649,181.2544789,0.095755718
13/7/2020,8403900.18,0,-82346.35,-0.970350669,-82346.35,-0.970350669,274224.07,3.371656625,1.033716566,3.371656625,274224.07,3.371656625,120.4283578,13.38590083,274224.07,3.371656625,274224.07,3.371656625,274224.07,3.371656625,8.660482348,18.66709159,-0.007662455,-0.007662455,-0.007662455,-0.009295296,229.9538093,-0.988207812,-0.988207812,9.77E-05,8.660482348,18.66709159,120.4283578,0.133859008
14/7/2020,8483233.34,0,79333.16,0.944004073,-3013.19,-0.035506746,353557.23,4.347489274,1.043474893,4.347489274,353557.23,4.347489274,135.1109414,12.66604192,353557.23,4.347489274,353557.23,4.347489274,353557.23,4.347489274,10.31189871,22.48342695,-0.007322279,-0.007322279,-0.007322279,-0.009227261,282.1053533,0.92614693,0,0,10.31189871,22.48342695,135.1109414,0.126660419
15/7/2020,8478930.91,0,-4302.43,-0.050716865,-7315.62,-0.086205603,349254.8,4.294567499,1.042945675,4.294567499,349254.8,4.294567499,118.6785424,12.24821398,349254.8,4.294567499,349254.8,4.294567499,349254.8,4.294567499,9.322056469,20.80140474,-0.006982104,-0.006982104,-0.006982104,-0.009159226,224.5841053,-0.068574008,-0.068574008,4.70E-07,9.322056469,20.80140474,118.6785424,0.12248214
16/7/2020,8434812.8,0,-44118.11,-0.52032633,-51433.73,-0.606083382,305136.69,3.751895404,1.037518954,3.751895404,305136.69,3.751895404,93.69846462,12.57426224,305136.69,3.751895404,305136.69,3.751895404,305136.69,3.751895404,7.093733445,15.20489765,-0.007678397,-0.007678397,-0.007678397,-0.009298485,152.9881582,-0.538183473,-0.538183473,2.90E-05,7.093733445,15.20489765,93.69846462,0.125742622
