Symbol,Quantity,AvgPrice
ABBV,-123,160.7
ACGL,-283,68.54
CCN3,-1,2858.0
CGBM23,21,126.03
CGFM23,-47,113.9
COILM3,4,84.85
EWW,55679,58.97
GILD,-233,82.75
GOILK3,5,776.85
HOK3,3,2.68
HSY,-61,258.41
IGIB,113876,51.21
IGSB,116104,50.45
LMT,-31,495.59
LTPZ,93481,62.23
MCHI,-67590,49.39
MPC,-181,131.26
MRK,-222,112.29
NGK3,-17,2.16
PCG,-1685,16.63
PGR,-155,147.86
REGN,-20,820.89
RING,-4822,26.31
SBK3,-2,0.24
SGEN,-68,204.67
STIP,18501,99.18
TN   JUN 23,15,121.83
UB   JUN 23,13,142.66
ULTA,34,524.64
ZB   JUN 23,14,132.46
ZF   JUN 23,53,109.9
ZL   JUL 23,-10,0.55
ZL   MAY 23,11,0.55
ZM   JUL 23,8,448.56
ZM   MAY 23,-16,453.07
ZN   JUN 23,16,115.48
