Symbol,Quantity,AvgPrice
1288,35000,5.32
1398,1000000,6.14
3988,1000000,4.6
857,154000,7.36
A17U,123100,2.76
AGQ,78000,51.3
C6L,14800,6.81
EBND,123000,21.1
ME8U,263500,2.01
MELI,500,2450.0
NQ 05SEP25 22500 P,0,259.22
NQ 05SEP25 23250 P,0,496.91
QQQ 05SEP25 563 P,0,11.5
SHYG,10686,42.88
SPXL,-1230,180.05
SPY 05SEP25 631 P,200,11.46
SQQQ,0,18.78
TLT,48000,88.24
TQQQ,30800,86.02
U96,53800,7.81
URA,16300,40.37
UVXY,36172,15.78
VIX 15AUG25 21 P,-1,2.87
VTIP,49000,50.25
