Symbol,Quantity,AvgPrice
1398,-26000,5.94
3988,-794000,4.43
700,27200,616.49
A17U,912400,2.73
BLSH,-16300,65.65
IBIT,-101700,63.74
ME8U,825200,2.07
TQQQ,-91700,90.86
U96,104800,6.13
