Symbol,Quantity,AvgPrice
ADM,-4551,86.39
AEP,-1825,100.06
CF,-1710,101.55
CGBZ22,-6,123.78
CGFZ22,-6,112.32
COILX2,-3,90.08
COILZ2,2,88.03
CTVA,3223,61.3
CTZ2,-11,0.95
DTE,-1404,130.1
ED,-1890,97.41
FPE,-33117,17.45
GFV2,-3,1.82
GIS,-2633,75.55
GOILV2,-1,960.25
HEZ2,15,0.88
HOV2,-2,3.25
HOX2,-1,3.21
HYG,-7800,74.05
IAU,-17929,31.7
IGSB,-11624,49.95
IXC,-34824,35.87
K,-2765,71.11
MCK,-544,344.04
MRK,-2241,86.2
NOC,-385,488.46
PLV2,12,914.53
QQQ,-45951,288.34
QQQ 17MAR23 330 C,1460,9.04
RBV2,-3,2.39
RBX2,2,2.32
SHYD,-24419,22.23
SIZ2,6,19.42
SO,-2372,77.43
SRE,-1059,170.92
WEC,-1802,101.24
WM,-1103,169.78
XEL,-2510,73.65
XLE,-15524,77.27
ZC   DEC 22,-3,6.72
ZM   DEC 22,-2,425.95
ZS   NOV 22,2,14.51
