Symbol,Quantity,AvgPrice
ALIV3,-3,2116.0
BKNG,28,3206.66
BR,514,181.67
CCZ3,1,3453.0
CHD,1056,94.71
DHI,656,125.64
EWZ,10779,30.85
FDX,364,265.88
FMB,11377,50.43
FPE,35581,16.19
GE,816,113.91
GFU3,1,2.5
HGU3,-2,3.68
HOU3,1,3.02
HYD,11540,50.74
HYG,7997,74.67
IAU,8401,36.12
IGIB,11943,49.68
IGLB,12312,49.1
IGSB,11710,50.01
KE   DEC 23,-4,7.5
KSA,6721,40.5
LEV3,1,1.8
LLY,165,540.21
MAR,519,207.2
PANW,455,217.76
PH,244,409.08
PLV3,-4,892.35
PWR,428,202.88
QQQ,23435,367.92
RBU3,1,2.88
SBV3,3,0.24
SGEN,510,194.88
SIU3,-2,22.56
STIP,6088,97.17
TDG,119,856.09
VRSK,383,235.87
WST,224,401.82
ZS   NOV 23,-2,13.17
