Symbol,Quantity,AvgPrice
ALIV3,1,2136.0
BKNG,-10,3151.97
BR,-190,181.05
CCZ3,-1,3480.0
CHD,-307,93.27
EWZ,-2818,30.58
FDX,-119,265.58
FMB,-3730,50.23
FPE,-11715,16.06
GE,-287,113.15
HOU3,-1,3.09
HYD,-3807,50.54
HYG,-2476,74.18
IAU,-2593,35.87
IGIB,-3687,49.26
IGLB,-3497,48.28
IGSB,-3839,49.89
KE   DEC 23,1,7.48
KSA,-2253,40.63
LLY,-52,545.35
MAR,-169,204.93
PANW,-125,209.52
PH,-71,406.28
PLV3,1,900.4
PWR,-124,201.74
QQQ,-6820,361.67
SBV3,-1,0.24
SGEN,-154,193.93
STIP,-1972,96.97
TDG,-34,852.48
VRSK,-145,234.22
WST,-64,397.1
ZS   NOV 23,1,13.36
