Symbol,Quantity,AvgPrice
ALIV3,11,2163.61
BKNG,-180,3063.5
BR,-241,185.48
BRO,6890,73.3
CCZ3,7,3478.29
CEG,4755,106.49
ETN,-218,226.25
EWZ,48239,31.3
FDX,-157,261.02
FMB,-4869,49.9
FPE,-15136,16.07
GE,-387,113.54
GFV3,2,2.56
HEV3,-11,0.81
HGZ3,-4,3.79
HYD,-4807,50.44
HYG,-3377,74.76
IAU,-3334,36.38
IGIB,-65832,49.68
IGSB,-4879,49.98
INDA,-37309,43.93
KCZ3,17,1.54
KE   DEC 23,-10,7.5
KSA,-3160,40.83
LEV3,17,1.81
LLY,-82,553.31
MAR,-2731,202.31
PANW,-208,230.29
PH,-122,407.66
PLV3,20,973.03
PWR,-240,206.52
QQQ,-11079,365.41
RSG,-306,146.33
SBV3,44,0.25
SGEN,-296,208.06
SIZ3,14,24.68
STIP,-2508,97.09
TDG,-52,874.48
VRSK,-196,238.53
WST,-110,400.69
ZC   DEC 23,24,4.94
ZO   DEC 23,9,5.08
ZS   NOV 23,-7,14.03
ZW   DEC 23,-12,6.15
