Symbol,Quantity,AvgPrice
1810,5000,52.03
2097,600,420.7
700,400,510.88
857,2000,6.15
883,1000,18.62
9961,1000,501.64
AGG,360,98.11
AMZN,300,201.82
BABA,400,136.3
BSX,500,100.86
CQQQ,1100,45.95
CVS,800,67.77
DAX,800,39.66
GS,100,560.3
ICE,300,176.81
IEF,250,94.28
JPM,200,248.97
LQD,460,107.73
MDT,600,89.08
MLPX,600,63.97
MSTR,220,326.93
NVDA,1200,112.36
PLTR,400,91.71
PM,300,154.84
QQQ,200,483.48
RSP,400,174.6
SE,400,133.85
SFM,400,148.83
SGOV,-29400,100.63
TLT,700,88.82
TMUS,100,267.98
TSLA,200,279.63
USD.HKD,-160960,7.78
VGIT,600,58.95
VRTX,100,503.27
XLE,600,92.97
