Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
LLY,STK,549.76,859,924,65,7.567,0.333,507864.96
VRSK,STK,239.63,1964,2119,155,7.892,0.333,507864.96
CEG,STK,110.75,4305,4586,281,6.527,0.333,507864.96
BR,STK,181.22,2579,2802,223,8.647,0.333,507864.96
BRO,STK,70.96,6539,7157,618,9.451,0.333,507864.96
GE,STK,111.4,4189,4559,370,8.833,0.333,507864.96
BRK B,STK,357.78,1299,1419,120,9.238,0.333,507864.96
SGEN,STK,212.55,2211,2389,178,8.051,0.333,507864.96
PWR,STK,190.12,2538,2671,133,5.24,0.333,507864.96
WMT,STK,161.72,2901,3140,239,8.239,0.333,507864.96
MCK,STK,444.38,1066,1143,77,7.223,0.333,507864.96
COR,STK,185.16,2515,2743,228,9.066,0.333,507864.96
BKNG,STK,3082.66,156,165,9,5.769,0.333,507864.96
ETN,STK,214.36,2247,2369,122,5.429,0.333,507864.96
PANW,STK,232.47,2062,2185,123,5.965,0.333,507864.96
QQQ,STK,354.7,118489,128863,10374,8.755,30,45707850.91
XLE,STK,92.36,31429,32993,1564,4.976,2,3047190.06
STIP,STK,96.77,29285,31489,2204,7.526,2,3047190.06
IGSB,STK,49.74,57006,61262,4256,7.466,2,3047190.06
HYG,STK,73.48,38439,41470,3031,7.885,2,3047190.06
FPE,STK,15.93,177689,191286,13597,7.652,2,3047190.06
IGIB,STK,48.57,57996,62738,4742,8.176,2,3047190.06
FMB,STK,49.07,57363,62099,4736,8.256,2,3047190.06
BTS,FUT,103860,27,29,2,7.407,2,3047190.06
GBS,FUT,104850,27,29,2,7.407,2,3047190.06
GBM,FUT,115190,24,26,2,8.333,2,3047190.06
R,FUT,93520,29,33,4,13.793,2,3047190.06
IAU,STK,35.5,38939,42918,3979,10.219,1,1523595.03
COIL,FUT,90506,8,8,0,0,0.5,761797.52
CL,FUT,93200,8,8,0,0,0.5,761797.52
HO,FUT,129649.8,5,6,1,20,0.5,761797.52
PB,FUT,53943.62,13,14,1,7.692,0.5,761797.52
GOIL,FUT,95725,7,8,1,14.286,0.5,761797.52
TSR20,FUT,6975.23,99,109,10,10.101,0.5,761797.52
LE,FUT,75320,9,10,1,11.111,0.5,761797.52
SB,FUT,29433.61,23,26,3,13.043,0.5,761797.52
SCI,FUT,11510,62,66,4,6.452,0.5,761797.52
GF,FUT,126150,5,6,1,20,0.5,761797.52
,,,,,,,,
,,,,,,,2.892,95986486.2
